heal/sword/30: entry 2.2347 -> 2.2125, skin 0.001698, rigid 0.032330, cape 0.011990
heal/sword/60: entry 2.2358 -> 2.1864, skin 0.001698, rigid 0.031454, cape 0.011990
heal/sword/120: entry 2.2361 -> 2.1793, skin 0.001698, rigid 0.031402, cape 0.011990
heal/spear/30: entry 3.3234 -> 3.9218, skin 0.001698, rigid 0.038698, cape 0.011990
heal/spear/60: entry 3.3227 -> 3.9495, skin 0.001698, rigid 0.038698, cape 0.011990
heal/spear/120: entry 3.3226 -> 3.9567, skin 0.001698, rigid 0.037287, cape 0.011990
heal/greatsword/30: entry 2.9972 -> 3.2115, skin 0.001698, rigid 0.032330, cape 0.011990
heal/greatsword/60: entry 2.9976 -> 3.1900, skin 0.001698, rigid 0.031420, cape 0.011990
heal/greatsword/120: entry 2.9977 -> 3.1840, skin 0.001698, rigid 0.031325, cape 0.011990
jump/sword/30: entry 1.6902 -> 0.0753, skin 0.758013, rigid 1.115223, cape 0.503597
jump/sword/60: entry 1.6895 -> 0.0701, skin 0.757722, rigid 1.115223, cape 0.503597
jump/sword/120: entry 1.6808 -> 0.0693, skin 0.757516, rigid 1.115223, cape 0.503597
jump/spear/30: entry 0.9850 -> 0.0722, skin 0.758013, rigid 0.962090, cape 0.503597
jump/spear/60: entry 0.9739 -> 0.0701, skin 0.757722, rigid 0.962090, cape 0.503597
jump/spear/120: entry 0.9728 -> 0.0693, skin 0.757516, rigid 0.961960, cape 0.503597
jump/greatsword/30: entry 0.4884 -> 0.0722, skin 0.758013, rigid 1.115223, cape 0.503597
jump/greatsword/60: entry 0.4870 -> 0.0701, skin 0.757722, rigid 1.115223, cape 0.503597
jump/greatsword/120: entry 0.4867 -> 0.0693, skin 0.757516, rigid 1.115223, cape 0.503597
dodge-tail/sword/30: entry 0.8358 -> 0.2990, skin 0.003179, rigid 0.030618, cape 0.011986
dodge-tail/sword/60: entry 0.8383 -> 0.2936, skin 0.002684, rigid 0.029747, cape 0.011986
dodge-tail/sword/120: entry 0.8389 -> 0.2725, skin 0.002011, rigid 0.029710, cape 0.011986
dodge-tail/spear/30: entry 0.9180 -> 0.2990, skin 0.003179, rigid 0.032366, cape 0.011986
dodge-tail/spear/60: entry 0.9076 -> 0.2936, skin 0.002684, rigid 0.032366, cape 0.011986
dodge-tail/spear/120: entry 0.9050 -> 0.2725, skin 0.002011, rigid 0.031088, cape 0.011986
dodge-tail/greatsword/30: entry 0.6586 -> 0.2990, skin 0.003179, rigid 0.026060, cape 0.011986
dodge-tail/greatsword/60: entry 0.6593 -> 0.2936, skin 0.002684, rigid 0.024953, cape 0.011986
dodge-tail/greatsword/120: entry 0.6594 -> 0.2725, skin 0.002011, rigid 0.024624, cape 0.011986
