ID,Side,Shape,Approx_dimensions_m,Adjacent_edges,Reference,Reuse,Required_before_model
UP-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-00.top"", ""left"": ""UP-00-07.right"", ""right"": ""UP-00-01.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-01.top"", ""left"": ""UP-00-00.right"", ""right"": ""UP-00-02.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-02.top"", ""left"": ""UP-00-01.right"", ""right"": ""UP-00-03.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-03.top"", ""left"": ""UP-00-02.right"", ""right"": ""UP-00-04.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-04.top"", ""left"": ""UP-00-03.right"", ""right"": ""UP-00-05.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-05.top"", ""left"": ""UP-00-04.right"", ""right"": ""UP-00-06.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-06.top"", ""left"": ""UP-00-05.right"", ""right"": ""UP-00-07.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-00-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""bottom"": ""UP-01-07.top"", ""left"": ""UP-00-06.right"", ""right"": ""UP-00-00.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-00.bottom"", ""bottom"": ""UP-02-00.top"", ""left"": ""UP-01-07.right"", ""right"": ""UP-01-01.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-01.bottom"", ""bottom"": ""UP-02-01.top"", ""left"": ""UP-01-00.right"", ""right"": ""UP-01-02.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
